title,description,category,location,price,bedrooms,ai_score,image_url
"山景别墅","3室别墅，全景山景。私人泳池。","vacation","山区",2500.00,3,97,"https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=800"
"老城四合院","修复的历史四合院住宅。","homestay","历史中心",1800.00,2,93,"https://images.unsplash.com/photo-1568605114967-8130f3a36994?w=800"
"湖畔公寓","靠近城市湖泊的现代公寓。","for_sale","湖畔公寓", 450000.00,2,88,"https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800"
"艺术家工作室阁楼","艺术区的创意空间。","rental","艺术区",1200.00,1,85,"https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800"
"竹林小屋","被大自然环绕的隐蔽度假屋。","vacation","乡村",1500.00,2,90,"https://images.unsplash.com/photo-1449844908441-8829872d2607?w=800"
"市中心公寓","靠近所有景点的便利位置。","long_term","市中心",2000.00,2,86,"https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=800"
"海景豪宅","180度海景，私人海滩。","for_sale","海滨",3500000.00,5,98,"https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800"
"温馨民宿","家庭式温馨民宿，包早餐。","homestay","老街",800.00,1,89,"https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800"
"现代loft","工业风设计，挑高空间。","rental","创意园",1800.00,1,91,"https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800"
"花园洋房","欧式花园别墅，环境优雅。","for_sale","别墅区",2800000.00,4,95,"https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800"
"江景公寓","落地窗江景，采光极佳。","long_term","江滨",2200.00,2,90,"https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800"
"古镇客栈","水乡古镇特色客栈。","homestay","古镇",600.00,1,87,"https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800"
"度假木屋","森林中的独栋木屋。","vacation","森林公园",1600.00,2,92,"https://images.unsplash.com/photo-1542718610-a1d656d1884c?w=800"
"精装公寓","全新精装修，拎包入住。","rental","新区",1500.00,2,88,"https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=800"
"复式豪宅","上下两层，空间宽敞。","for_sale","高档社区",1800000.00,3,94,"https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800"
"学区房","名校旁，教育资源优质。","for_sale","学区",1200000.00,2,91,"https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=800"
"温泉别墅","私家温泉，养生度假。","vacation","温泉区",3000.00,4,96,"https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=800"
"青年公寓","适合年轻人的经济型公寓。","rental","大学城",900.00,1,84,"https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800"
"茶园民宿","茶山环绕，清新自然。","homestay","茶园",700.00,1,88,"https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800"
"商住两用","一楼商铺，二楼住宅。","for_sale","商业街",950000.00,2,86,"https://images.unsplash.com/photo-1560184897-ae75f418493e?w=800"
"高层公寓","高楼层视野开阔。","long_term","CBD",2500.00,2,89,"https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800"
"乡村别墅","田园风光，远离喧嚣。","vacation","郊区",1400.00,3,87,"https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800"
"单身公寓","精致小户型，功能齐全。","rental","市区",1100.00,1,85,"https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800"
"豪华顶层","顶层复式，私人露台。","for_sale","豪宅区",5000000.00,4,99,"https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=800"
"传统民居","保留传统建筑风格。","homestay","古村",500.00,1,86,"https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800"
"湖畔别墅","私人码头，可停游艇。","vacation","湖区",2800.00,3,95,"https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=800"
"智能公寓","全屋智能家居系统。","rental","科技园",1900.00,2,92,"https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=800"
"园林别墅","中式园林设计，假山流水。","for_sale","别墅区",3200000.00,4,96,"https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800"
"观海公寓","每日观赏日出日落。","long_term","海景路",2600.00,2,93,"https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=800"
"山间小筑","隐居山林，修身养性。","vacation","深山",1000.00,2,88,"https://images.unsplash.com/photo-1542718610-a1d656d1884c?w=800"
