title,description,category,company,location,salary_range,ai_score,image_url
"导游协调员","管理旅游日程和导游分配。","full_time","城市旅游公司","游客中心","$3000-$4000",92,"https://images.unsplash.com/photo-1488646953014-85cb44e25828?w=800"
"酒店前台经理","豪华酒店寻求经验丰富的经理。","management","大酒店","市中心","$4500-$6000",95,"https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800"
"社交媒体专员","在社交平台推广本地旅游。","marketing","旅游局","远程","$3500-$5000",88,"https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=800"
"传统厨师","专攻本地美食。","kitchen","传统餐厅","老城","$3000-$4500",90,"https://images.unsplash.com/photo-1556910103-1c02745aae4d?w=800"
"活动策划师","组织文化节日和活动。","events","文化中心","市中心","$3200-$4800",87,"https://images.unsplash.com/photo-1511578314322-379afb476865?w=800"
"旅游摄影师","为营销拍摄城市美景。","remote","旅游代理","灵活","$2500-$4000",85,"https://images.unsplash.com/photo-1542038784456-1ea8e935640e?w=800"
"景区讲解员","为游客提供专业讲解服务。","full_time","景区管理处","各景区","$2800-$3500",86,"https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=800"
"民宿管家","负责民宿日常运营管理。","full_time","民宿连锁","古镇","$3000-$4000",89,"https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=800"
"旅游产品经理","设计开发旅游线路产品。","management","旅行社","总部","$5000-$7000",94,"https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=800"
"文化遗产保护专员","负责文物保护和修复工作。","full_time","文物局","博物馆","$3500-$5000",91,"https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e?w=800"
"餐饮总监","管理酒店餐饮部门。","management","五星酒店","酒店","$6000-$8000",96,"https://images.unsplash.com/photo-1507679799987-c73779587ccf?w=800"
"旅游咨询顾问","为游客提供行程规划建议。","full_time","旅游咨询公司","办公室","$3200-$4200",88,"https://images.unsplash.com/photo-1573497019940-1c28c88b4f3e?w=800"
"酒店客房主管","监督客房清洁和服务质量。","management","度假酒店","度假村","$3500-$4500",87,"https://images.unsplash.com/photo-1560250097-0b93528c311a?w=800"
"旅游大巴司机","持A1驾照，驾驶经验丰富。","full_time","旅游公司","市区","$4000-$5000",85,"https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=800"
"景区安全员","负责景区游客安全管理。","full_time","景区","山区景点","$2500-$3200",84,"https://images.unsplash.com/photo-1551836022-d5d88e9218df?w=800"
"旅游文案编辑","撰写旅游宣传文案和攻略。","marketing","旅游平台","远程","$3500-$4500",90,"https://images.unsplash.com/photo-1486312338219-ce68d2c6f44d?w=800"
"酒店销售经理","拓展酒店客源和合作渠道。","management","商务酒店","市区","$4000-$6000",93,"https://images.unsplash.com/photo-1556157382-97eda2d62296?w=800"
"民俗表演者","传统文化表演和展示。","events","文化公司","景区","$2800-$3800",86,"https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800"
"旅游电商运营","负责线上旅游产品运营。","marketing","OTA平台","远程","$4000-$5500",91,"https://images.unsplash.com/photo-1573164713714-d95e436ab8d6?w=800"
"景区规划师","负责景区规划和设计。","management","规划院","办公室","$5500-$7500",95,"https://images.unsplash.com/photo-1581092160562-40aa08e78837?w=800"
"酒店工程主管","负责酒店设施维护管理。","management","酒店集团","各酒店","$4500-$6000",88,"https://images.unsplash.com/photo-1556761175-4b46a572b786?w=800"
"旅游翻译","精通英语/日语，陪同翻译。","full_time","国际旅行社","市区","$3800-$5000",89,"https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=800"
"餐厅服务员","五星酒店西餐厅服务。","full_time","豪华酒店","酒店","$2500-$3500",83,"https://images.unsplash.com/photo-1438761681033-6461ffad8d80?w=800"
"旅游数据分析师","分析旅游市场数据和趋势。","marketing","旅游集团","总部","$5000-$7000",92,"https://images.unsplash.com/photo-1551836022-deb4988cc6c0?w=800"
"景区票务主管","管理景区售票和验票工作。","management","景区","游客中心","$3000-$4000",85,"https://images.unsplash.com/photo-1580489944761-15a19d654956?w=800"
"酒店人力资源经理","负责酒店招聘和培训。","management","酒店集团","总部","$5000-$6500",93,"https://images.unsplash.com/photo-1573497019940-1c28c88b4f3e?w=800"
"旅游视频制作","拍摄剪辑旅游宣传视频。","marketing","传媒公司","远程","$4000-$5500",90,"https://images.unsplash.com/photo-1492691527719-9d1e07e534b4?w=800"
"民宿设计师","负责民宿室内设计和改造。","events","设计公司","办公室","$4500-$6500",91,"https://images.unsplash.com/photo-1581291518857-4e27b48ff24e?w=800"
"旅游法务专员","处理旅游合同和法律事务。","management","旅游集团","总部","$4500-$6000",89,"https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=800"
"景区环保员","负责景区环境保护和清洁。","full_time","景区","各景点","$2200-$2800",82,"https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=800"
